ID,Name,Department,Birthdate,Address,TelNum,Sex
1,윤하은,생산부,1991-12-14,부산광역시,010-2405-1866,Male
2,임준영,관리부,1983-02-09,광주광역시,010-6797-3922,Male
3,이예은,관리부,1996-12-15,인천광역시,010-7007-5423,Female
4,박준영,생산부,1995-07-17,서울특별시,010-7527-2710,Male
5,김도윤,영업부,1996-10-08,부산광역시,010-4698-6988,Female
6,최하은,연구소,1981-02-13,부산광역시,010-4951-7777,Female
7,최지우,생산부,1997-02-14,광주광역시,010-6922-4534,Male
8,장하은,영업부,1987-11-16,대구광역시,010-5405-6598,Female
9,최민수,관리부,1981-12-07,광주광역시,010-8374-1086,Male
10,박다은,생산부,1990-01-08,서울특별시,010-6749-4856,Male
11,임다은,생산부,1995-11-24,광주광역시,010-1217-7679,Female
12,장지민,연구소,1982-08-16,광주광역시,010-3407-7498,Female
13,장지우,연구소,1990-10-07,서울특별시,010-9732-7893,Female
14,장도윤,영업부,1983-01-27,서울특별시,010-2291-9445,Female
15,김예은,생산부,1980-12-08,광주광역시,010-6846-7971,Female
16,김민수,관리부,1981-07-30,광주광역시,010-6381-5105,Female
17,이지우,생산부,1987-03-22,광주광역시,010-2587-7783,Female
18,최준영,연구소,1989-01-08,인천광역시,010-9777-1532,Male
19,김하은,생산부,1995-03-29,광주광역시,010-4908-9500,Female
20,임하은,관리부,1994-07-19,인천광역시,010-8078-9091,Male
21,최현우,생산부,1992-01-31,광주광역시,010-7987-5946,Female
22,강민수,관리부,1995-07-07,서울특별시,010-9633-6146,Female
23,김서연,관리부,1991-08-06,광주광역시,010-7110-5735,Male
24,강현우,영업부,1997-03-21,부산광역시,010-8591-8430,Male
25,조지민,생산부,1991-05-19,서울특별시,010-8390-3905,Male
26,정하은,관리부,1999-09-04,대구광역시,010-2710-8386,Female
27,강지우,관리부,1980-03-14,서울특별시,010-1752-6075,Male
28,이민수,연구소,1983-06-18,대구광역시,010-8119-9768,Female
29,김도윤,연구소,1988-11-07,대구광역시,010-7237-7116,Male
30,강예은,관리부,1999-03-20,부산광역시,010-2103-8421,Male
31,강준영,연구소,1996-10-11,인천광역시,010-1529-2113,Female
32,김도윤,관리부,1987-02-14,광주광역시,010-6544-8217,Male
33,최민수,영업부,1993-12-20,대구광역시,010-8197-9282,Female
34,박현우,연구소,1986-10-10,인천광역시,010-6412-6216,Female
35,최하은,연구소,1997-10-15,부산광역시,010-2505-8558,Female
36,임민수,관리부,1986-07-11,광주광역시,010-9568-7472,Female
37,윤지우,영업부,1981-05-28,부산광역시,010-2188-4676,Female
38,윤하은,관리부,1991-01-09,대구광역시,010-3434-7834,Male
39,정하은,연구소,1993-09-19,광주광역시,010-5364-2984,Female
40,강다은,영업부,1993-06-03,광주광역시,010-3018-4773,Male
41,장민수,영업부,1994-10-27,대구광역시,010-3132-5882,Male
42,최민수,영업부,1998-07-27,대구광역시,010-8247-3421,Male
43,임서연,영업부,1996-02-15,대구광역시,010-7033-5449,Male
44,박예은,연구소,1996-09-14,대구광역시,010-8309-4741,Female
45,박준영,관리부,1989-12-15,대구광역시,010-9678-8779,Male
46,조지우,영업부,1990-11-24,대구광역시,010-1654-2144,Male
47,박지민,영업부,2000-02-02,대구광역시,010-4170-4532,Male
48,정민수,관리부,1980-11-23,광주광역시,010-9816-9422,Female
49,최준영,영업부,1990-08-13,대구광역시,010-6057-9541,Female
50,최하은,생산부,1983-11-30,대구광역시,010-9103-5818,Female
51,정서연,관리부,1988-03-12,서울특별시,010-7201-4089,Male
52,조다은,생산부,1989-06-22,광주광역시,010-1653-8181,Male
53,장예은,영업부,1995-12-01,광주광역시,010-3437-3634,Male
54,이다은,관리부,1987-11-12,대구광역시,010-3680-2791,Female
55,강현우,생산부,1989-07-20,부산광역시,010-9761-5775,Male
56,장민수,영업부,1992-08-06,대구광역시,010-5822-1362,Female
57,최준영,영업부,1991-04-06,서울특별시,010-4118-9250,Female
58,강지민,연구소,1991-06-01,대구광역시,010-2415-2594,Male
59,이민수,연구소,1993-03-07,인천광역시,010-8808-5408,Female
60,이다은,영업부,1993-04-22,서울특별시,010-1013-9639,Male
61,윤하은,관리부,1985-09-20,부산광역시,010-2795-5858,Male
62,김다은,관리부,1990-01-17,부산광역시,010-7283-3459,Male
63,조지민,연구소,1998-07-03,대구광역시,010-8902-1501,Male
64,정도윤,관리부,1986-12-01,대구광역시,010-6160-3185,Male
65,정서연,생산부,1997-05-21,대구광역시,010-2393-1355,Male
66,박하은,연구소,1989-04-02,인천광역시,010-5140-4000,Male
67,강민수,관리부,1994-11-26,광주광역시,010-3629-1859,Male
68,정준영,생산부,1983-07-20,인천광역시,010-3174-2449,Male
69,조지민,생산부,1990-12-03,인천광역시,010-8878-7870,Male
70,임지민,연구소,1993-07-30,대구광역시,010-1812-1172,Female
71,이서연,관리부,1990-12-04,부산광역시,010-8739-7514,Female
72,김예은,관리부,1998-02-14,인천광역시,010-6781-7236,Male
73,박지민,생산부,1995-08-30,부산광역시,010-1626-6292,Male
74,윤서연,관리부,1998-12-06,대구광역시,010-6318-5198,Male
75,김준영,관리부,1994-04-14,광주광역시,010-1627-1690,Female
76,정지민,관리부,1980-03-30,부산광역시,010-9246-7445,Male
77,조예은,관리부,1984-01-27,서울특별시,010-7126-2942,Male
78,박도윤,영업부,1998-01-31,부산광역시,010-8421-4472,Male
79,정서연,영업부,1990-05-17,부산광역시,010-5016-2648,Female
80,윤현우,연구소,1991-02-05,인천광역시,010-1934-4981,Male
81,강도윤,생산부,1999-11-01,서울특별시,010-6959-5938,Male
82,김현우,영업부,1995-08-24,대구광역시,010-3911-5950,Male
83,임지민,영업부,1980-09-02,인천광역시,010-9575-7671,Female
84,조예은,생산부,1987-07-12,인천광역시,010-7273-1139,Male
85,조준영,생산부,1996-03-02,광주광역시,010-5453-1445,Female
86,윤예은,관리부,1996-04-02,대구광역시,010-1181-8744,Male
87,이서연,생산부,1988-07-02,서울특별시,010-9299-6797,Female
88,윤지우,관리부,1995-07-14,서울특별시,010-9441-2874,Male
89,정지민,생산부,1983-11-01,인천광역시,010-8795-8587,Female
90,이준영,영업부,1987-04-29,인천광역시,010-4248-9076,Female
91,임민수,연구소,1995-08-17,대구광역시,010-8218-2829,Female
92,이다은,영업부,1981-11-15,대구광역시,010-8068-9438,Male
93,조도윤,관리부,1994-08-02,서울특별시,010-4984-7473,Male
94,강준영,연구소,1994-05-25,대구광역시,010-6278-6462,Male
95,임다은,영업부,1986-01-29,부산광역시,010-3031-9483,Female
96,윤예은,연구소,1993-02-07,인천광역시,010-7540-4363,Male
97,정서연,관리부,1984-01-12,대구광역시,010-4606-4615,Male
98,장지민,관리부,2000-09-17,대구광역시,010-9944-5107,Female
99,최도윤,관리부,1995-03-12,인천광역시,010-4394-3735,Male
100,최준영,연구소,1990-12-20,인천광역시,010-5729-4979,Female
